#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.204175 seconds
Distributing the actor graph took: 41.4174 seconds
Added actors in: 0.136771 seconds.
Initialized connections of actors in: 0.0478908 seconds.
Async Migration only
Output number: 1, Rank-12: (1) 78 | (2) 1002 | (3)7.78443/100 | (4) 33, 33 | (5) 79.3096 | (6) 44.5612 | (7) 0.000194488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (203413, 203413) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.154 | (25) (33.859, 61-55)
Output number: 7, Rank-371: (1) 95 | (2) 995 | (3)9.54774/100 | (4) 47, 47 | (5) 75.581 | (6) 485.768 | (7) 0.00019904 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1260 | (14) 44.5238/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (252754, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 185.951 | (25) (33.7751, 5-127)
Output number: 7, Rank-349: (1) 83 | (2) 12234 | (3)0.678437/100 | (4) 38, 38 | (5) 98.1023 | (6) 498.775 | (7) 0.000181229 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1260 | (14) 47.3016/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (124065, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.727 | (25) (33.5356, 1-134)
Output number: 7, Rank-372: (1) 109 | (2) 1085 | (3)10.0461/100 | (4) 36, 36 | (5) 73.5474 | (6) 489.688 | (7) 0.00023506 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1260 | (14) 44.6825/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (164075, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 217.047 | (25) (37.3058, 2-120)
Output number: 7, Rank-376: (1) 83 | (2) 12275 | (3)0.676171/100 | (4) 18, 18 | (5) 81.0832 | (6) 497.578 | (7) 0.000238337 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1260 | (14) 45.873/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (192079, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 236.161 | (25) (33.549, 13-140)
Output number: 8, Rank-5: (1) 67 | (2) 1058 | (3)6.3327/100 | (4) 19, 19 | (5) 82.5125 | (6) 575.362 | (7) 0.000188035 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.625/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (189508, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 204.072 | (25) (33.4333, 121-140)
Output number: 8, Rank-17: (1) 101 | (2) 14156 | (3)0.713478/100 | (4) 44, 44 | (5) 83.9702 | (6) 556.444 | (7) 0.000199828 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.4444/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (176102, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 182.156 | (25) (33.7328, 18-134)
Output number: 8, Rank-3: (1) 91 | (2) 14112 | (3)0.644841/100 | (4) 30, 30 | (5) 86.7446 | (6) 579.377 | (7) 0.000197412 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.25/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (126803, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.714 | (25) (33.7931, 122-4)
Output number: 8, Rank-27: (1) 75 | (2) 13902 | (3)0.539491/100 | (4) 14, 14 | (5) 101.205 | (6) 579.978 | (7) 0.000208274 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 47.2917/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (94290, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 201.958 | (25) (33.2694, 143-8)
Output number: 8, Rank-26: (1) 69 | (2) 14124 | (3)0.48853/100 | (4) 17, 17 | (5) 108.017 | (6) 579.517 | (7) 0.000230573 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 47.7083/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (95331, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.565 | (25) (33.745, 134-3)
Output number: 8, Rank-12: (1) 78 | (2) 1002 | (3)7.78443/100 | (4) 33, 33 | (5) 79.3096 | (6) 566.325 | (7) 0.000194488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.7917/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (203413, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.154 | (25) (33.859, 61-55)
Output number: 8, Rank-20: (1) 79 | (2) 945 | (3)8.35979/100 | (4) 21, 21 | (5) 86.1713 | (6) 569.327 | (7) 0.000283017 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4861/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (164074, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 207.677 | (25) (33.9778, 126-135)
Output number: 8, Rank-15: (1) 75 | (2) 1001 | (3)7.49251/100 | (4) 29, 29 | (5) 87.5171 | (6) 558.163 | (7) 0.000191733 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.7917/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (147495, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.245 | (25) (33.2147, 128-5)
Output number: 8, Rank-6: (1) 92 | (2) 1104 | (3)8.33333/100 | (4) 21, 21 | (5) 88.7987 | (6) 580.875 | (7) 0.000183488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.4583/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (154423, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.734 | (25) (33.6192, 140-132)
Output number: 8, Rank-18: (1) 108 | (2) 14085 | (3)0.766773/100 | (4) 20, 20 | (5) 88.8006 | (6) 573.548 | (7) 0.000232345 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.9722/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (130094, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.731 | (25) (33.5232, 13-132)
Output number: 8, Rank-14: (1) 70 | (2) 1017 | (3)6.88299/100 | (4) 34, 34 | (5) 75.1849 | (6) 563.879 | (7) 0.00023205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.375/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (198492, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 177.727 | (25) (33.7092, 139-12)
Output number: 8, Rank-22: (1) 71 | (2) 907 | (3)7.828/100 | (4) 27, 27 | (5) 108.043 | (6) 551.408 | (7) 0.000209185 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.7639/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (103874, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.892 | (25) (33.5834, 129-11)
Output number: 8, Rank-7: (1) 95 | (2) 1124 | (3)8.45196/100 | (4) 44, 44 | (5) 87.1879 | (6) 550.854 | (7) 0.000224008 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.3056/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (183547, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 196.915 | (25) (36.1998, 140-9)
Output number: 8, Rank-4: (1) 65 | (2) 907 | (3)7.16648/100 | (4) 15, 15 | (5) 82.1939 | (6) 572.9 | (7) 0.000200676 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4861/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (168153, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 235.21 | (25) (33.2965, 83-79)
Output number: 8, Rank-24: (1) 101 | (2) 1077 | (3)9.3779/100 | (4) 32, 32 | (5) 102.907 | (6) 551.99 | (7) 0.00016066 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4167/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (142241, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.447 | (25) (33.9626, 142-5)
Output number: 8, Rank-23: (1) 92 | (2) 14116 | (3)0.651743/100 | (4) 23, 23 | (5) 108.655 | (6) 573.248 | (7) 0.000190319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 47.2917/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (95370, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 213.962 | (25) (35.1638, 130-18)
Output number: 8, Rank-19: (1) 75 | (2) 998 | (3)7.51503/100 | (4) 16, 16 | (5) 84.0174 | (6) 586.293 | (7) 0.000224667 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.5278/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (146303, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 204.311 | (25) (33.4669, 0-9)
Output number: 8, Rank-1: (1) 74 | (2) 990 | (3)7.47475/100 | (4) 41, 41 | (5) 71.5726 | (6) 556.529 | (7) 0.000192286 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 43.6111/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (196405, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.888 | (25) (33.7834, 75-89)
Output number: 8, Rank-9: (1) 82 | (2) 14100 | (3)0.58156/100 | (4) 17, 17 | (5) 97.2675 | (6) 575.226 | (7) 0.000229476 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.6667/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (125542, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 203.875 | (25) (33.5436, 133-15)
Output number: 8, Rank-166: (1) 75 | (2) 14147 | (3)0.530148/100 | (4) 23, 23 | (5) 73.6658 | (6) 581.718 | (7) 0.000287038 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4861/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (185467, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.175 | (25) (33.0515, 143-126)
Output number: 8, Rank-126: (1) 81 | (2) 1025 | (3)7.90244/100 | (4) 22, 22 | (5) 82.214 | (6) 588.728 | (7) 0.000239656 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.5278/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (223192, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 186.236 | (25) (35.9752, 89-59)
Output number: 8, Rank-99: (1) 67 | (2) 14184 | (3)0.472363/100 | (4) 36, 36 | (5) 95.2124 | (6) 559.887 | (7) 0.000204873 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4861/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (171248, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 179.749 | (25) (33.5365, 83-67)
Output number: 8, Rank-73: (1) 58 | (2) 13930 | (3)0.416368/100 | (4) 22, 22 | (5) 77.4238 | (6) 574.398 | (7) 0.000204938 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.2083/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (162252, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.526 | (25) (33.4718, 77-63)
Output number: 8, Rank-278: (1) 90 | (2) 14005 | (3)0.642628/100 | (4) 19, 19 | (5) 106.192 | (6) 565.515 | (7) 0.000257206 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.5972/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (117702, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.978 | (25) (33.7206, 19-2)
Output number: 8, Rank-292: (1) 79 | (2) 14155 | (3)0.558107/100 | (4) 40, 40 | (5) 78.7242 | (6) 564.862 | (7) 0.000216348 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.6528/100 | (15) 0 | (17) (40, 40) | (18) X | (19) (189385, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 183.867 | (25) (34.2697, 94-84)
Output number: 8, Rank-40: (1) 92 | (2) 995 | (3)9.24623/100 | (4) 32, 32 | (5) 92.6546 | (6) 553.627 | (7) 0.00021051 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.8611/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (158762, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 211.439 | (25) (33.5084, 143-19)
Output number: 8, Rank-436: (1) 80 | (2) 14025 | (3)0.57041/100 | (4) 22, 22 | (5) 106.201 | (6) 560.915 | (7) 0.000204174 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.3194/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (110024, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.907 | (25) (33.8934, 60-78)
Output number: 8, Rank-648: (1) 77 | (2) 1041 | (3)7.39673/100 | (4) 16, 16 | (5) 83.7486 | (6) 571.8 | (7) 0.000264026 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4861/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (179805, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 202.71 | (25) (33.6126, 76-83)
Output number: 8, Rank-189: (1) 73 | (2) 920 | (3)7.93478/100 | (4) 25, 25 | (5) 79.7424 | (6) 565.487 | (7) 0.000265116 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.7917/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (193578, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 236.371 | (25) (33.0814, 81-88)
Output number: 8, Rank-358: (1) 57 | (2) 1053 | (3)5.41311/100 | (4) 17, 17 | (5) 78.001 | (6) 582.35 | (7) 0.000303683 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.8333/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (124902, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 210.128 | (25) (37.7898, 8-143)
Output number: 8, Rank-406: (1) 70 | (2) 1068 | (3)6.55431/100 | (4) 44, 44 | (5) 64.798 | (6) 554.773 | (7) 0.000216353 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 42.9861/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (237102, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 214.931 | (25) (33.6674, 49-63)
Output number: 8, Rank-230: (1) 49 | (2) 14108 | (3)0.347321/100 | (4) 21, 21 | (5) 76.535 | (6) 581.837 | (7) 0.000302522 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.6944/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (168432, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.23 | (25) (33.8723, 10-14)
Output number: 8, Rank-467: (1) 63 | (2) 13991 | (3)0.450289/100 | (4) 18, 18 | (5) 73.9768 | (6) 581.606 | (7) 0.000183258 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4861/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (175286, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.125 | (25) (33.5115, 77-52)
Output number: 8, Rank-554: (1) 63 | (2) 14061 | (3)0.448048/100 | (4) 22, 22 | (5) 77.2065 | (6) 587.703 | (7) 0.000276014 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.1111/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (167156, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.118 | (25) (34.0956, 17-13)
Output number: 8, Rank-521: (1) 77 | (2) 14118 | (3)0.545403/100 | (4) 34, 34 | (5) 87.2164 | (6) 570.678 | (7) 0.000197032 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.625/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (199212, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 179.508 | (25) (33.4622, 143-129)
Output number: 8, Rank-218: (1) 78 | (2) 1061 | (3)7.35156/100 | (4) 25, 25 | (5) 80.5056 | (6) 569.405 | (7) 0.000255439 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.0694/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (145435, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 207.651 | (25) (33.7105, 69-70)
Output number: 8, Rank-615: (1) 69 | (2) 13948 | (3)0.494695/100 | (4) 20, 20 | (5) 77.9149 | (6) 577.833 | (7) 0.000178542 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4861/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (161198, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.534 | (25) (33.6882, 69-57)
Output number: 8, Rank-502: (1) 67 | (2) 13957 | (3)0.480046/100 | (4) 28, 28 | (5) 62.1179 | (6) 588.573 | (7) 0.000296845 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.1389/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (216850, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.69 | (25) (33.9115, 13-135)
Output number: 8, Rank-374: (1) 85 | (2) 14127 | (3)0.601685/100 | (4) 21, 21 | (5) 78.3453 | (6) 578.726 | (7) 0.000241626 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.625/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (195466, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 209.22 | (25) (33.9978, 52-76)
Output number: 8, Rank-309: (1) 70 | (2) 14130 | (3)0.4954/100 | (4) 18, 18 | (5) 70.6657 | (6) 586.289 | (7) 0.000193626 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.5556/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (190029, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 234.383 | (25) (33.7541, 16-134)
Output number: 8, Rank-582: (1) 83 | (2) 1136 | (3)7.30634/100 | (4) 25, 25 | (5) 72.5922 | (6) 578.014 | (7) 0.000194942 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.1389/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (202482, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 270.721 | (25) (33.4994, 141-120)
Output number: 8, Rank-622: (1) 91 | (2) 14159 | (3)0.642701/100 | (4) 29, 29 | (5) 90.5996 | (6) 571.011 | (7) 0.00020573 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.9028/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (198753, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.145 | (25) (33.7266, 80-55)
Output number: 8, Rank-60: (1) 77 | (2) 14172 | (3)0.543325/100 | (4) 20, 20 | (5) 85.0578 | (6) 593.216 | (7) 0.000214101 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 47.0833/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (144217, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 204.759 | (25) (33.5852, 126-11)
Output number: 8, Rank-274: (1) 98 | (2) 14002 | (3)0.6999/100 | (4) 15, 15 | (5) 105.772 | (6) 562.876 | (7) 0.000245011 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.3889/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (105435, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.438 | (25) (33.6285, 134-14)
Output number: 8, Rank-293: (1) 73 | (2) 1073 | (3)6.80336/100 | (4) 33, 33 | (5) 88.501 | (6) 554.151 | (7) 0.000181169 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.5833/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (182370, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 211.958 | (25) (33.5425, 4-1)
Output number: 8, Rank-42: (1) 48 | (2) 790 | (3)6.07595/100 | (4) 19, 19 | (5) 71.5042 | (6) 573.529 | (7) 0.000296908 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.7917/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (143765, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.492 | (25) (33.9696, 8-129)
Output number: 8, Rank-431: (1) 77 | (2) 14058 | (3)0.547731/100 | (4) 22, 22 | (5) 110.627 | (6) 563.767 | (7) 0.000282136 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.8056/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (100898, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.604 | (25) (33.6835, 52-77)
Output number: 8, Rank-654: (1) 62 | (2) 14141 | (3)0.438441/100 | (4) 19, 19 | (5) 64.903 | (6) 594.59 | (7) 0.000270495 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.7639/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (190257, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 204.44 | (25) (33.5357, 59-69)
Output number: 8, Rank-175: (1) 73 | (2) 14044 | (3)0.519795/100 | (4) 30, 30 | (5) 106.328 | (6) 557.445 | (7) 0.00025308 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 46.0417/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (104146, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.885 | (25) (33.2966, 56-88)
Output number: 8, Rank-359: (1) 80 | (2) 14101 | (3)0.567336/100 | (4) 24, 24 | (5) 86.1359 | (6) 592.632 | (7) 0.00027851 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 47.0833/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (166113, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.778 | (25) (33.6867, 136-6)
Output number: 8, Rank-408: (1) 80 | (2) 14091 | (3)0.567738/100 | (4) 37, 37 | (5) 72.1335 | (6) 569.923 | (7) 0.00022495 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.5833/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (224880, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 213.566 | (25) (34.0018, 22-3)
Output number: 8, Rank-250: (1) 79 | (2) 14174 | (3)0.557359/100 | (4) 39, 39 | (5) 90.1972 | (6) 555.288 | (7) 0.000255481 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.7917/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (138509, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 181.194 | (25) (33.5872, 95-68)
Output number: 8, Rank-455: (1) 95 | (2) 1077 | (3)8.8208/100 | (4) 31, 31 | (5) 95.1907 | (6) 556.303 | (7) 0.000229127 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.2083/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (140459, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.787 | (25) (34.1122, 55-85)
Output number: 8, Rank-535: (1) 93 | (2) 982 | (3)9.47047/100 | (4) 17, 17 | (5) 95.8757 | (6) 560.561 | (7) 0.000215952 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.5556/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (110583, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 205.12 | (25) (34.0401, 89-65)
Output number: 8, Rank-506: (1) 83 | (2) 14081 | (3)0.589447/100 | (4) 26, 26 | (5) 96.8895 | (6) 557.922 | (7) 0.000185591 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.4167/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (130520, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.596 | (25) (34.1068, 95-75)
Output number: 8, Rank-202: (1) 84 | (2) 953 | (3)8.81427/100 | (4) 32, 32 | (5) 94.8762 | (6) 550.025 | (7) 0.000241897 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 44.7222/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (124230, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 210.508 | (25) (33.7329, 67-67)
Output number: 8, Rank-592: (1) 76 | (2) 875 | (3)8.68571/100 | (4) 18, 18 | (5) 111.968 | (6) 550.628 | (7) 0.000143554 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1440 | (14) 45.9722/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (71904, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.09 | (25) (33.7273, 49-65)
