#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 16, Rank-70: (1) 151 | (2) 27390 | (3)0.551296/100 | (4) 200, 200 | (5) 491.5 | (6) 894.226 | (7) 0.000119598 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 48.0903/100 | (15) 0 | (17) (200, 200) | (18) X | (19) (2094655, 159972) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2317.26 | (25) (33.2318, 88-92) | (26) 1 | (27) 66.0268
Output number: 16, Rank-5: (1) 136 | (2) 25428 | (3)0.534843/100 | (4) 80, 80 | (5) 2320.04 | (6) 227.39 | (7) 0.000131628 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 88.4375/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (1090054, 52962) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 2628.57 | (25) (33.6038, 83-60) | (26) 1 | (27) 326.613
Output number: 16, Rank-111: (1) 104 | (2) 25705 | (3)0.404591/100 | (4) 75, 75 | (5) 1772.31 | (6) 404.818 | (7) 0.000253762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 75.5903/100 | (15) 0 | (17) (75, 75) | (18) X | (19) (1946495, 51030) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2437.38 | (25) (33.4652, 17-140) | (26) 1 | (27) 128.363
Output number: 16, Rank-81: (1) 124 | (2) 26269 | (3)0.472039/100 | (4) 73, 73 | (5) 1839.37 | (6) 382.633 | (7) 0.000132907 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 77.1181/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (1998971, 47399) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2339.22 | (25) (33.8549, 129-137) | (26) 1 | (27) 196.834
Output number: 16, Rank-8: (1) 260 | (2) 28200 | (3)0.921986/100 | (4) 434, 434 | (5) 143.994 | (6) 1044.27 | (7) 0.000252743 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 41.25/100 | (15) 0 | (17) (434, 434) | (18) X | (19) (2268150, 279301) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 1336.35 | (25) (33.6688, 118-13) | (26) 1 | (27) 34.2625
Output number: 16, Rank-39: (1) 249 | (2) 27743 | (3)0.897524/100 | (4) 321, 321 | (5) 488.556 | (6) 875.999 | (7) 6.2676e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 47.3611/100 | (15) 0 | (17) (321, 321) | (18) X | (19) (2633335, 218363) | (20) 1 | (21) 1 | (22) 0 | (23) 10 | (24) 2535.17 | (25) (34.1403, 24-7) | (26) 1 | (27) 167.585
Output number: 16, Rank-93: (1) 197 | (2) 26193 | (3)0.752109/100 | (4) 74, 74 | (5) 1333.67 | (6) 570.822 | (7) 5.3387e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 66.1111/100 | (15) 0 | (17) (74, 74) | (18) X | (19) (1967388, 53646) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2393.67 | (25) (33.2239, 51-95) | (26) 1 | (27) 130.621
Output number: 16, Rank-67: (1) 76 | (2) 21876 | (3)0.347413/100 | (4) 79, 79 | (5) 2728.08 | (6) 61.2358 | (7) 0.000106287 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 96.8403/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (878824, 53653) | (20) 1 | (21) 1 | (22) 0 | (23) 32 | (24) 2616.84 | (25) (38.9594, 76-87) | (26) 1 | (27) 1058.1
Output number: 16, Rank-23: (1) 24 | (2) 24144 | (3)0.0994036/100 | (4) 73, 73 | (5) 2410.17 | (6) 206.431 | (7) 5.9646e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 90.8333/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (735601, 49154) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2392.5 | (25) (33.7496, 135-4) | (26) 1 | (27) 162.818
Output number: 16, Rank-22: (1) 90 | (2) 25457 | (3)0.353537/100 | (4) 72, 72 | (5) 2412.62 | (6) 190.419 | (7) 0.000112488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 90.3819/100 | (15) 0 | (17) (72, 72) | (18) X | (19) (1055102, 48781) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2363.45 | (25) (34.0261, 135-8) | (26) 1 | (27) 32.5183
Output number: 16, Rank-96: (1) 111 | (2) 25204 | (3)0.440406/100 | (4) 76, 76 | (5) 2045.65 | (6) 317.831 | (7) 0.000108479 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 82.0486/100 | (15) 0 | (17) (76, 76) | (18) X | (19) (1680773, 52579) | (20) 1 | (21) 1 | (22) 0 | (23) 3 | (24) 2533.58 | (25) (34.3146, 68-85) | (26) 1 | (27) 100.048
Output number: 16, Rank-78: (1) 134 | (2) 27225 | (3)0.492195/100 | (4) 151, 151 | (5) 847.308 | (6) 764.728 | (7) 0.000115952 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 55.9722/100 | (15) 0 | (17) (151, 151) | (18) X | (19) (2251646, 163294) | (20) 1 | (21) 0 | (22) 0 | (23) 39 | (24) 2501.04 | (25) (33.5521, 135-125) | (26) 1 | (27) 764.578
Output number: 16, Rank-26: (1) 97 | (2) 24818 | (3)0.390845/100 | (4) 68, 68 | (5) 2375.71 | (6) 204.526 | (7) 0.000249608 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 89.5833/100 | (15) 0 | (17) (68, 68) | (18) X | (19) (1115377, 45409) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2258.36 | (25) (33.9622, 141-7) | (26) 1 | (27) 32.8468
Output number: 16, Rank-92: (1) 283 | (2) 27160 | (3)1.04197/100 | (4) 168, 168 | (5) 788.971 | (6) 804.718 | (7) 0.000109391 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 55.3125/100 | (15) 0 | (17) (168, 168) | (18) X | (19) (2196945, 122136) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2208.6 | (25) (34.3481, 72-97) | (26) 1 | (27) 97.5774
Output number: 16, Rank-66: (1) 45 | (2) 22222 | (3)0.202502/100 | (4) 80, 80 | (5) 2747.11 | (6) 53.6854 | (7) 0.00013547 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 97.2222/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (829640, 53731) | (20) 1 | (21) 1 | (22) 0 | (23) 34 | (24) 2654.89 | (25) (33.7278, 76-75) | (26) 1 | (27) 1127.14
Output number: 16, Rank-18: (1) 245 | (2) 28123 | (3)0.871173/100 | (4) 419, 419 | (5) 267.693 | (6) 979.772 | (7) 0.000101546 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 43.2986/100 | (15) 0 | (17) (419, 419) | (18) X | (19) (2419691, 262412) | (20) 1 | (21) 0 | (22) 0 | (23) 18 | (24) 2348.04 | (25) (33.0994, 101-57) | (26) 1 | (27) 38.4695
Output number: 16, Rank-46: (1) 117 | (2) 25102 | (3)0.466098/100 | (4) 79, 79 | (5) 2531.7 | (6) 138.813 | (7) 9.9585e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 92.7083/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (1063867, 51121) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2587.93 | (25) (33.4071, 68-54) | (26) 1 | (27) 63.9931
Output number: 16, Rank-91: (1) 208 | (2) 25528 | (3)0.814792/100 | (4) 80, 80 | (5) 2284.62 | (6) 231.042 | (7) 0.000249304 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 87.3264/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (1595837, 53575) | (20) 1 | (21) 0 | (22) 0 | (23) 16 | (24) 2636.84 | (25) (33.7183, 47-78) | (26) 1 | (27) 526.881
Output number: 16, Rank-80: (1) 122 | (2) 25987 | (3)0.469466/100 | (4) 95, 95 | (5) 2084.18 | (6) 291.574 | (7) 7.3965e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 82.4653/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (2017670, 61072) | (20) 1 | (21) 0 | (22) 0 | (23) 16 | (24) 2545.6 | (25) (35.0015, 125-125) | (26) 1 | (27) 427.708
Output number: 16, Rank-1: (1) 202 | (2) 27795 | (3)0.726749/100 | (4) 326, 326 | (5) 602.602 | (6) 859.875 | (7) 7.4124e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 50.7639/100 | (15) 0 | (17) (326, 326) | (18) X | (19) (2528708, 228913) | (20) 1 | (21) 0 | (22) 0 | (23) 21 | (24) 2443.91 | (25) (33.8159, 89-43) | (26) 1 | (27) 169.236
Output number: 16, Rank-55: (1) 316 | (2) 27314 | (3)1.15692/100 | (4) 166, 166 | (5) 813.402 | (6) 765.925 | (7) 8.8896e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 54.8264/100 | (15) 0 | (17) (166, 166) | (18) X | (19) (2689968, 115437) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 2444 | (25) (33.8924, 48-68) | (26) 1 | (27) 167.137
Output number: 16, Rank-76: (1) 151 | (2) 27506 | (3)0.548971/100 | (4) 293, 293 | (5) 706.516 | (6) 811.878 | (7) 0.000105358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 52.7083/100 | (15) 0 | (17) (293, 293) | (18) X | (19) (2370562, 199739) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 2379.48 | (25) (34.1998, 123-140) | (26) 1 | (27) 134.148
Output number: 16, Rank-6: (1) 109 | (2) 23465 | (3)0.464522/100 | (4) 80, 80 | (5) 2619.63 | (6) 103.286 | (7) 8.9594e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 94.5139/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (1141171, 53092) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2638.29 | (25) (33.9482, 83-73) | (26) 1 | (27) 197.342
Output number: 16, Rank-42: (1) 177 | (2) 26070 | (3)0.678941/100 | (4) 81, 81 | (5) 1991.86 | (6) 335.28 | (7) 9.7872e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 80.7986/100 | (15) 0 | (17) (81, 81) | (18) X | (19) (1665916, 52160) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2658.79 | (25) (33.286, 50-56) | (26) 1 | (27) 195.645
Output number: 16, Rank-109: (1) 135 | (2) 26504 | (3)0.509357/100 | (4) 78, 78 | (5) 1622.17 | (6) 458.33 | (7) 5.9994e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 72.2222/100 | (15) 0 | (17) (78, 78) | (18) X | (19) (1894451, 54741) | (20) 1 | (21) 1 | (22) 0 | (23) 4 | (24) 2436.19 | (25) (34.0108, 9-134) | (26) 1 | (27) 98.5566
Output number: 16, Rank-69: (1) 118 | (2) 20444 | (3)0.577186/100 | (4) 81, 81 | (5) 2719.95 | (6) 62.3284 | (7) 0.00011483 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 96.5972/100 | (15) 0 | (17) (81, 81) | (18) X | (19) (1427251, 53152) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2634.38 | (25) (33.3348, 89-78) | (26) 1 | (27) 160.819
Output number: 16, Rank-45: (1) 57 | (2) 24874 | (3)0.229155/100 | (4) 80, 80 | (5) 2586.11 | (6) 121.254 | (7) 7.5449e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 93.9931/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (786703, 53298) | (20) 1 | (21) 0 | (22) 0 | (23) 62 | (24) 2660.79 | (25) (33.9651, 66-69) | (26) 1 | (27) 2062.1
Output number: 16, Rank-83: (1) 40 | (2) 23205 | (3)0.172377/100 | (4) 75, 75 | (5) 2346.23 | (6) 230.411 | (7) 2.5388e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 2880 | (14) 89.4444/100 | (15) 0 | (17) (75, 75) | (18) X | (19) (715872, 47612) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2467.06 | (25) (33.6778, 142-136) | (26) 1 | (27) 131.329
Output number: 17, Rank-14: (1) 0 | (2) 29815 | (3)0/100 | (4) 180, 180 | (5) 71.5473 | (6) 1183.18 | (7) 0.000249752 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 40.9804/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (1913895, 121365) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.7294 | (25) (0.44848, 129-55) | (26) 29489 | (27) -0.31061
Output number: 17, Rank-19: (1) 5 | (2) 29975 | (3)0.0166806/100 | (4) 192, 192 | (5) 74.3034 | (6) 1153.11 | (7) 0.000271133 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 40.098/100 | (15) 0 | (17) (192, 192) | (18) X | (19) (1999804, 125935) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.6068 | (25) (0.51579, 125-50) | (26) 4315 | (27) -0.63249
Output number: 17, Rank-26: (1) 99 | (2) 26411 | (3)0.374844/100 | (4) 64, 64 | (5) 2516.11 | (6) 221.611 | (7) 0.000249608 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 89.4444/100 | (15) 0 | (17) (64, 64) | (18) X | (19) (1157612, 42235) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2127.55 | (25) (36.1772, 140-13) | (26) 350502 | (27) -0.30747
Output number: 17, Rank-23: (1) 24 | (2) 25682 | (3)0.0934507/100 | (4) 71, 71 | (5) 2562.46 | (6) 218.666 | (7) 5.9646e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 90.8824/100 | (15) 0 | (17) (71, 71) | (18) X | (19) (782009, 46408) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2321.07 | (25) (33.4764, 135-4) | (26) 158390 | (27) -0.56493
Output number: 17, Rank-21: (1) 164 | (2) 27075 | (3)0.605725/100 | (4) 67, 67 | (5) 1963.83 | (6) 409.229 | (7) 0.000140342 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 77.549/100 | (15) 0 | (17) (67, 67) | (18) X | (19) (1922003, 44110) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2241.36 | (25) (34.3106, 120-8) | (26) 3504 | (27) -0.31711
Output number: 17, Rank-20: (1) 127 | (2) 29780 | (3)0.426461/100 | (4) 313, 313 | (5) 245.018 | (6) 1068.64 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 42.9085/100 | (15) 0 | (17) (313, 313) | (18) X | (19) (2203785, 203408) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1807.63 | (25) (33.4513, 137-27) | (26) 9023 | (27) -0.63486
Output number: 17, Rank-10: (1) 8 | (2) 29846 | (3)0.0268043/100 | (4) 193, 193 | (5) 74.3027 | (6) 1192.31 | (7) 0.000109644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 41.3725/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (1986032, 126406) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.624 | (25) (0.4548, 67-20) | (26) 10937 | (27) -1.14167
Output number: 17, Rank-16: (1) 272 | (2) 27887 | (3)0.975365/100 | (4) 121, 121 | (5) 1643 | (6) 524.294 | (7) 9.3717e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 70.817/100 | (15) 0 | (17) (121, 121) | (18) X | (19) (2615501, 84979) | (20) 1 | (21) 1 | (22) 0 | (23) 4 | (24) 2567.88 | (25) (37.242, 93-73) | (26) 1 | (27) 140.023
Output number: 17, Rank-9: (1) 323 | (2) 29836 | (3)1.08258/100 | (4) 502, 502 | (5) 252.997 | (6) 1035.97 | (7) 5.448e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 42.0915/100 | (15) 0 | (17) (502, 502) | (18) X | (19) (2639924, 289923) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1968.29 | (25) (33.3014, 124-15) | (26) 21666 | (27) -0.73894
Output number: 17, Rank-15: (1) 164 | (2) 29954 | (3)0.547506/100 | (4) 353, 353 | (5) 85.9276 | (6) 1130.44 | (7) 7.2805e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.7386/100 | (15) 0 | (17) (353, 353) | (18) X | (19) (2200641, 216266) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 129.824 | (25) (0.4616, 107-68) | (26) 4893 | (27) -0.65594
Output number: 17, Rank-17: (1) 177 | (2) 29755 | (3)0.594858/100 | (4) 351, 351 | (5) 290.516 | (6) 1038.62 | (7) 9.2005e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 43.4314/100 | (15) 0 | (17) (351, 351) | (18) X | (19) (2240012, 215809) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1959.05 | (25) (33.5626, 132-23) | (26) 10237 | (27) -0.40194
Output number: 17, Rank-11: (1) 157 | (2) 29818 | (3)0.526528/100 | (4) 341, 341 | (5) 84.6848 | (6) 1110.01 | (7) 2.7356e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.0196/100 | (15) 0 | (17) (341, 341) | (18) X | (19) (2251204, 216386) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 120.938 | (25) (0.47235, 90-3) | (26) 9063 | (27) -0.36117
Output number: 17, Rank-24: (1) 147 | (2) 27676 | (3)0.531146/100 | (4) 61, 61 | (5) 2069.1 | (6) 375.061 | (7) 5.9204e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 79.8693/100 | (15) 0 | (17) (61, 61) | (18) X | (19) (2010944, 39864) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2034.25 | (25) (34.1846, 123-8) | (26) 1 | (27) 98.2736
Output number: 17, Rank-89: (1) 222 | (2) 28023 | (3)0.792206/100 | (4) 71, 71 | (5) 1992.15 | (6) 388.925 | (7) 0.000154865 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 77.8105/100 | (15) 0 | (17) (71, 71) | (18) X | (19) (2268280, 48407) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2285.01 | (25) (33.3748, 3-123) | (26) 3949 | (27) 31.1107
Output number: 17, Rank-49: (1) 37 | (2) 29788 | (3)0.124211/100 | (4) 216, 216 | (5) 72.8788 | (6) 1133.92 | (7) 0.000276091 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.4118/100 | (15) 0 | (17) (216, 216) | (18) X | (19) (1938157, 137848) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 79.6475 | (25) (0.47505, 9-74) | (26) 8603 | (27) -0.31194
Output number: 17, Rank-2: (1) 276 | (2) 27659 | (3)0.997867/100 | (4) 79, 79 | (5) 1853.99 | (6) 455.754 | (7) 0.000245635 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 75.4575/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (2100537, 51250) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2572.41 | (25) (33.2568, 96-58) | (26) 1 | (27) 98.239
Output number: 17, Rank-41: (1) 217 | (2) 29959 | (3)0.724323/100 | (4) 400, 400 | (5) 79.1627 | (6) 1149.77 | (7) 0.000273886 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 40.1307/100 | (15) 0 | (17) (400, 400) | (18) X | (19) (2084132, 200040) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 151.219 | (25) (0.56098, 46-12) | (26) 7124 | (27) -0.34627
Output number: 17, Rank-86: (1) 142 | (2) 29961 | (3)0.473949/100 | (4) 322, 322 | (5) 78.0658 | (6) 1138.55 | (7) 0.000262556 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.7386/100 | (15) 0 | (17) (322, 322) | (18) X | (19) (2146304, 202053) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 116.969 | (25) (0.50714, 18-78) | (26) 1267 | (27) -1.00005
Output number: 17, Rank-58: (1) 13 | (2) 29918 | (3)0.0434521/100 | (4) 196, 196 | (5) 70.2285 | (6) 1157.44 | (7) 0.000109382 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 40.098/100 | (15) 0 | (17) (196, 196) | (18) X | (19) (1960981, 133779) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.2352 | (25) (0.4612, 138-90) | (26) 363108 | (27) -0.32214
Output number: 17, Rank-7: (1) 280 | (2) 28806 | (3)0.97202/100 | (4) 94, 94 | (5) 850.465 | (6) 833.727 | (7) 7.3361e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 55.0327/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (2659809, 64325) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2176.1 | (25) (33.3875, 116-5) | (26) 1 | (27) 64.8796
Output number: 17, Rank-5: (1) 136 | (2) 26918 | (3)0.505238/100 | (4) 80, 80 | (5) 2493.81 | (6) 229.896 | (7) 0.000131628 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 88.9869/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (1142833, 52779) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2622.02 | (25) (33.5725, 83-60) | (26) 1 | (27) 63.4331
Output number: 17, Rank-22: (1) 90 | (2) 27093 | (3)0.332189/100 | (4) 67, 67 | (5) 2559.68 | (6) 204.505 | (7) 0.000112488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 90.3268/100 | (15) 0 | (17) (67, 67) | (18) X | (19) (1099879, 44777) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2196.49 | (25) (33.5611, 137-7) | (26) 1 | (27) 32.3832
Output number: 17, Rank-52: (1) 74 | (2) 29843 | (3)0.247964/100 | (4) 256, 256 | (5) 74.2046 | (6) 1192.43 | (7) 0.000128327 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 41.3725/100 | (15) 0 | (17) (256, 256) | (18) X | (19) (1996945, 150163) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 94.4887 | (25) (0.59874, 6-47) | (26) 20894 | (27) -0.76203
Output number: 17, Rank-104: (1) 0 | (2) 29721 | (3)0/100 | (4) 183, 183 | (5) 70.4834 | (6) 1149.67 | (7) 8.6908e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.8693/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (1949683, 123640) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.331 | (25) (0.61942, 72-138) | (26) 3251 | (27) -0.2356
Output number: 17, Rank-59: (1) 269 | (2) 28562 | (3)0.941811/100 | (4) 131, 131 | (5) 497.777 | (6) 982.571 | (7) 8.1555e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 48.366/100 | (15) 0 | (17) (131, 131) | (18) X | (19) (2290798, 110391) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 2370.92 | (25) (33.6661, 98-72) | (26) 1 | (27) 198.9
Output number: 17, Rank-0: (1) 246 | (2) 27565 | (3)0.892436/100 | (4) 81, 81 | (5) 2145.59 | (6) 347.746 | (7) 0.000184093 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 81.4706/100 | (15) 0 | (17) (81, 81) | (18) X | (19) (1786397, 52548) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2673.31 | (25) (33.9795, 77-48) | (26) 1 | (27) 64.1234
Output number: 17, Rank-101: (1) 227 | (2) 29736 | (3)0.763384/100 | (4) 411, 411 | (5) 86.1407 | (6) 1110.96 | (7) 6.0732e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.1176/100 | (15) 0 | (17) (411, 411) | (18) X | (19) (2162877, 223873) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 975.259 | (25) (34.1021, 27-137) | (26) 5190 | (27) -0.54656
Output number: 17, Rank-66: (1) 46 | (2) 23329 | (3)0.197179/100 | (4) 78, 78 | (5) 2925.19 | (6) 54.504 | (7) 0.00013547 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 97.3529/100 | (15) 0 | (17) (78, 78) | (18) X | (19) (883186, 53546) | (20) 1 | (21) 1 | (22) 0 | (23) 9 | (24) 2588.31 | (25) (33.6828, 83-80) | (26) 1 | (27) 297.957
