#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00140804 seconds
Distributing the actor graph took: 43.3275 seconds
Added actors in: 1.76254 seconds.
Initialized connections of actors in: 0.0487924 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 245 | (2) 1650 | (3)14.8485/100 | (4) 984, 984 | (5) 23.031 | (6) 43.2205 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (374261, 374261) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 691.499 | (25) (33.4254, 14-1) | (26) 287 | (27) 37.3734
Output number: 49, Rank-19: (1) 156 | (2) 258 | (3)60.4651/100 | (4) 593, 593 | (5) 6381.84 | (6) 629.53 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 79.4898/100 | (15) 0 | (17) (593, 593) | (18) X | (19) (7526938, 82606) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 8422.11 | (25) (35.2801, 8-17) | (26) 1 | (27) 0.43565
Output number: 49, Rank-21: (1) 5 | (2) 87751 | (3)0.00569794/100 | (4) 738, 738 | (5) 289.979 | (6) 2672.33 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 33.5828/100 | (15) 0 | (17) (738, 738) | (18) X | (19) (7075466, 102660) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 279.274 | (25) (0.54359, 136-46) | (26) 490926 | (27) -0.40003
Output number: 49, Rank-6: (1) 31 | (2) 54282 | (3)0.0571092/100 | (4) 288, 288 | (5) 5057.3 | (6) 1182.89 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 70.7483/100 | (15) 0 | (17) (288, 288) | (18) X | (19) (2795915, 40232) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6593.89 | (25) (33.9753, 22-128) | (26) 5353 | (27) -0.61946
Output number: 49, Rank-26: (1) 41 | (2) 87644 | (3)0.0467802/100 | (4) 786, 786 | (5) 649.698 | (6) 2615.26 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 37.0068/100 | (15) 0 | (17) (786, 786) | (18) X | (19) (7388011, 109364) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2875.97 | (25) (36.0293, 84-42) | (26) 602555 | (27) -0.68568
Output number: 49, Rank-11: (1) 168 | (2) 87582 | (3)0.19182/100 | (4) 902, 902 | (5) 453.246 | (6) 2371.2 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 32.0181/100 | (15) 0 | (17) (902, 902) | (18) X | (19) (8667006, 126158) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1220.9 | (25) (33.4683, 116-142) | (26) 2642 | (27) -0.26049
Output number: 49, Rank-16: (1) 224 | (2) 42549 | (3)0.526452/100 | (4) 346, 346 | (5) 7078.92 | (6) 483.835 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 85.737/100 | (15) 0 | (17) (346, 346) | (18) X | (19) (4648156, 48350) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9438.54 | (25) (33.7751, 44-59) | (26) 11801 | (27) -0.41216
Output number: 49, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 957, 957 | (5) 5764.41 | (6) 745.84 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 73.8095/100 | (15) 0 | (17) (957, 957) | (18) X | (19) (10060405, 135112) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9656.58 | (25) (33.9599, 142-12) | (26) 10410 | (27) -1.03264
Output number: 49, Rank-14: (1) 632 | (2) 84553 | (3)0.74746/100 | (4) 1384, 1384 | (5) 2939.22 | (6) 1308.99 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 48.1633/100 | (15) 0 | (17) (1384, 1384) | (18) X | (19) (11504876, 193479) | (20) 1 | (21) 0 | (22) 0 | (23) 15 | (24) 7812.55 | (25) (33.9495, 63-55) | (26) 1 | (27) 3.97953
Output number: 49, Rank-17: (1) 362 | (2) 85335 | (3)0.42421/100 | (4) 1101, 1101 | (5) 2188.65 | (6) 1791.15 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 45.1134/100 | (15) 0 | (17) (1101, 1101) | (18) X | (19) (10024936, 153861) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 6178.44 | (25) (33.6502, 91-48) | (26) 266 | (27) 4.46626
Output number: 49, Rank-18: (1) 407 | (2) 84774 | (3)0.4801/100 | (4) 1146, 1146 | (5) 2471.94 | (6) 1646.64 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 46.6893/100 | (15) 0 | (17) (1146, 1146) | (18) X | (19) (9951686, 160090) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 6954.58 | (25) (33.9078, 20-15) | (26) 84 | (27) 1.24089
Output number: 49, Rank-4: (1) 261 | (2) 83685 | (3)0.311884/100 | (4) 995, 995 | (5) 2665.81 | (6) 1813.33 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 50.7823/100 | (15) 0 | (17) (995, 995) | (18) X | (19) (8744572, 138917) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6599.35 | (25) (34.1776, 25-140) | (26) 4792 | (27) -0.23802
Output number: 49, Rank-12: (1) 10 | (2) 87364 | (3)0.0114464/100 | (4) 760, 760 | (5) 300.327 | (6) 2660.15 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 33.5601/100 | (15) 0 | (17) (760, 760) | (18) X | (19) (7284994, 106322) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 280.218 | (25) (0.53651, 137-82) | (26) 1 | (27) -0.23371
Output number: 49, Rank-27: (1) 285 | (2) 80146 | (3)0.355601/100 | (4) 1000, 1000 | (5) 3942.93 | (6) 1232.4 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 58.6735/100 | (15) 0 | (17) (1000, 1000) | (18) X | (19) (9332681, 139282) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 6463.1 | (25) (38.3581, 133-2) | (26) 1 | (27) 179.845
Output number: 49, Rank-7: (1) 146 | (2) 82521 | (3)0.176925/100 | (4) 874, 874 | (5) 4732.78 | (6) 1004.51 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 65.0454/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (8402471, 122062) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 9845.86 | (25) (33.9996, 58-97) | (26) 1 | (27) 32.2206
Output number: 49, Rank-1: (1) 437 | (2) 35215 | (3)1.24095/100 | (4) 964, 964 | (5) 6604.97 | (6) 454.077 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 80.034/100 | (15) 0 | (17) (964, 964) | (18) X | (19) (10081088, 134635) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 9718.8 | (25) (34.7174, 70-60) | (26) 1 | (27) 165.516
Output number: 49, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 539, 539 | (5) 8751.65 | (6) 22.6905 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 99.4785/100 | (15) 0 | (17) (539, 539) | (18) X | (19) (6028826, 75375) | (20) 1 | (21) 0 | (22) 0 | (23) 160 | (24) 12906.7 | (25) (35.6601, 97-53) | (26) 1 | (27) 4441.52
Output number: 49, Rank-0: (1) 89 | (2) 389 | (3)22.8792/100 | (4) 370, 370 | (5) 6848.51 | (6) 590.194 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 84.3311/100 | (15) 0 | (17) (370, 370) | (18) X | (19) (4166350, 51690) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 9847.13 | (25) (34.112, 43-88) | (26) 1 | (27) 229.504
Output number: 49, Rank-5: (1) 279 | (2) 1115 | (3)25.0224/100 | (4) 845, 845 | (5) 5909.95 | (6) 759.752 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 75.6122/100 | (15) 0 | (17) (845, 845) | (18) X | (19) (9078782, 117719) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9325.79 | (25) (40.8815, 15-121) | (26) 3373 | (27) -0.68879
Output number: 49, Rank-3: (1) 109 | (2) 87602 | (3)0.124426/100 | (4) 842, 842 | (5) 522.492 | (6) 2431.47 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 33.4807/100 | (15) 0 | (17) (842, 842) | (18) X | (19) (8044758, 117842) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1949.78 | (25) (33.7051, 59-98) | (26) 1 | (27) -1.37605
Output number: 49, Rank-9: (1) 167 | (2) 27863 | (3)0.599361/100 | (4) 271, 271 | (5) 6681.27 | (6) 648.841 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 83.1066/100 | (15) 0 | (17) (271, 271) | (18) X | (19) (2180378, 37882) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 9456.49 | (25) (36.7176, 85-87) | (26) 1 | (27) 70.2298
Output number: 49, Rank-2: (1) 402 | (2) 72363 | (3)0.555533/100 | (4) 1129, 1129 | (5) 3822.91 | (6) 1313.91 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 58.2313/100 | (15) 0 | (17) (1129, 1129) | (18) X | (19) (9534278, 156743) | (20) 1 | (21) 0 | (22) 0 | (23) 12 | (24) 9858.44 | (25) (33.6992, 44-75) | (26) 1 | (27) 69.2411
Output number: 49, Rank-25: (1) 73 | (2) 78542 | (3)0.0929439/100 | (4) 265, 265 | (5) 3873.81 | (6) 1639.57 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 62.5057/100 | (15) 0 | (17) (265, 265) | (18) X | (19) (2030658, 35164) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 6665.11 | (25) (34.0568, 140-19) | (26) 53 | (27) 98.8345
Output number: 49, Rank-13: (1) 114 | (2) 24678 | (3)0.46195/100 | (4) 816, 816 | (5) 6792.36 | (6) 505.675 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 82.7438/100 | (15) 0 | (17) (816, 816) | (18) X | (19) (8220457, 114026) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 11129.2 | (25) (34.1823, 137-134) | (26) 1 | (27) 231.926
Output number: 49, Rank-22: (1) 145 | (2) 80667 | (3)0.179751/100 | (4) 878, 878 | (5) 3446.1 | (6) 1508.36 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 56.1678/100 | (15) 0 | (17) (878, 878) | (18) X | (19) (8373689, 122630) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4225.73 | (25) (38.8358, 79-68) | (26) 1 | (27) -0.95632
Output number: 49, Rank-10: (1) 40 | (2) 45183 | (3)0.0885289/100 | (4) 532, 532 | (5) 6349.84 | (6) 772.996 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 8820 | (14) 80.7483/100 | (15) 0 | (17) (532, 532) | (18) X | (19) (4861034, 74046) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 10374 | (25) (33.6716, 115-137) | (26) 1 | (27) 66.8958
Output number: 50, Rank-8: (1) 317 | (2) 1306 | (3)24.2726/100 | (4) 900, 900 | (5) 7275.79 | (6) 401.785 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 85.3/100 | (15) 0 | (17) (900, 900) | (18) X | (19) (9802600, 124778) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 10964.9 | (25) (34.6551, 95-83) | (26) 8 | (27) 133.274
Output number: 50, Rank-10: (1) 40 | (2) 45259 | (3)0.0883802/100 | (4) 532, 532 | (5) 6495.56 | (6) 783.616 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 80.8778/100 | (15) 0 | (17) (532, 532) | (18) X | (19) (4934837, 73803) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 10537.3 | (25) (35.9757, 130-143) | (26) 1 | (27) 32.9171
Output number: 50, Rank-0: (1) 89 | (2) 389 | (3)22.8792/100 | (4) 370, 370 | (5) 6985.48 | (6) 603.883 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 84.3222/100 | (15) 0 | (17) (370, 370) | (18) X | (19) (4217675, 51325) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9880.37 | (25) (34.1775, 53-84) | (26) 6955 | (27) -1.57375
Output number: 50, Rank-26: (1) 41 | (2) 89419 | (3)0.0458516/100 | (4) 786, 786 | (5) 691.039 | (6) 2658.55 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 37.2111/100 | (15) 0 | (17) (786, 786) | (18) X | (19) (7497265, 109254) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2974.1 | (25) (33.4459, 79-45) | (26) 252062 | (27) -0.68568
Output number: 50, Rank-21: (1) 5 | (2) 89543 | (3)0.00558391/100 | (4) 738, 738 | (5) 294.361 | (6) 2726.93 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 33.5667/100 | (15) 0 | (17) (738, 738) | (18) X | (19) (7178048, 102582) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 276.831 | (25) (0.57168, 140-42) | (26) 160284 | (27) -0.40003
Output number: 50, Rank-22: (1) 145 | (2) 82332 | (3)0.176116/100 | (4) 878, 878 | (5) 3504.16 | (6) 1543.8 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 56.0778/100 | (15) 0 | (17) (878, 878) | (18) X | (19) (8495533, 121844) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4128.14 | (25) (34.0386, 86-71) | (26) 14567 | (27) -0.95632
Output number: 50, Rank-3: (1) 109 | (2) 89378 | (3)0.121954/100 | (4) 842, 842 | (5) 551.148 | (6) 2474.43 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 33.6111/100 | (15) 0 | (17) (842, 842) | (18) X | (19) (8161466, 116708) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2080.59 | (25) (33.6368, 59-98) | (26) 2485 | (27) -1.37605
Output number: 50, Rank-18: (1) 408 | (2) 86402 | (3)0.472211/100 | (4) 1147, 1147 | (5) 2571.65 | (6) 1666 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 47.0778/100 | (15) 0 | (17) (1147, 1147) | (18) X | (19) (10110454, 158768) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7155.42 | (25) (33.9503, 29-2) | (26) 18713 | (27) -0.33646
Output number: 50, Rank-12: (1) 10 | (2) 89153 | (3)0.0112167/100 | (4) 760, 760 | (5) 304.737 | (6) 2714.43 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 33.5444/100 | (15) 0 | (17) (760, 760) | (18) X | (19) (7389952, 104958) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 279.669 | (25) (0.55156, 121-96) | (26) 837067 | (27) -0.64283
Output number: 50, Rank-5: (1) 279 | (2) 1135 | (3)24.5815/100 | (4) 845, 845 | (5) 6041.92 | (6) 773.192 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 75.7222/100 | (15) 0 | (17) (845, 845) | (18) X | (19) (9196148, 117366) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 9560.16 | (25) (39.2058, 2-117) | (26) 1 | (27) 0.05656
Output number: 50, Rank-14: (1) 632 | (2) 86203 | (3)0.733153/100 | (4) 1384, 1384 | (5) 3049.35 | (6) 1321.71 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 48.5667/100 | (15) 0 | (17) (1384, 1384) | (18) X | (19) (11696290, 191414) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 7882.47 | (25) (33.8162, 51-53) | (26) 74 | (27) 164.733
Output number: 50, Rank-1: (1) 437 | (2) 35215 | (3)1.24095/100 | (4) 964, 964 | (5) 6739.9 | (6) 464.47 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 80.0444/100 | (15) 0 | (17) (964, 964) | (18) X | (19) (10214925, 133837) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 9786.82 | (25) (34.144, 43-62) | (26) 1 | (27) 99.3309
Output number: 50, Rank-7: (1) 146 | (2) 83748 | (3)0.174333/100 | (4) 874, 874 | (5) 4870.52 | (6) 1012.98 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 65.3667/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (8523639, 121168) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 9852.7 | (25) (33.9988, 58-97) | (26) 1 | (27) 32.5957
Output number: 50, Rank-6: (1) 31 | (2) 56013 | (3)0.0553443/100 | (4) 288, 288 | (5) 5149.65 | (6) 1210.12 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 70.6556/100 | (15) 0 | (17) (288, 288) | (18) X | (19) (2835826, 39911) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 6621.62 | (25) (33.8698, 22-128) | (26) 1 | (27) 99.2113
Output number: 50, Rank-9: (1) 167 | (2) 29443 | (3)0.567198/100 | (4) 271, 271 | (5) 6812.88 | (6) 662.605 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 83.0556/100 | (15) 0 | (17) (271, 271) | (18) X | (19) (2217957, 37579) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 9463.74 | (25) (39.7797, 77-94) | (26) 1 | (27) 357.951
Output number: 50, Rank-4: (1) 261 | (2) 85384 | (3)0.305678/100 | (4) 995, 995 | (5) 2758.01 | (6) 1836.98 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 51.0444/100 | (15) 0 | (17) (995, 995) | (18) X | (19) (8882790, 138218) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 6635.97 | (25) (34.7532, 12-128) | (26) 1 | (27) 66.249
Output number: 50, Rank-20: (1) 77 | (2) 74533 | (3)0.10331/100 | (4) 289, 289 | (5) 4877.79 | (6) 1331.25 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 68.9889/100 | (15) 0 | (17) (289, 289) | (18) X | (19) (2376429, 40075) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 7492.31 | (25) (36.2817, 0-10) | (26) 1 | (27) 98.3164
Output number: 50, Rank-19: (1) 156 | (2) 258 | (3)60.4651/100 | (4) 592, 592 | (5) 6501.43 | (6) 647.085 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 79.4222/100 | (15) 0 | (17) (592, 592) | (18) X | (19) (7609270, 82332) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 8650.92 | (25) (35.2142, 14-24) | (26) 1 | (27) 165.349
Output number: 50, Rank-27: (1) 285 | (2) 81830 | (3)0.348283/100 | (4) 1000, 1000 | (5) 4031.83 | (6) 1255.45 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 58.7444/100 | (15) 0 | (17) (1000, 1000) | (18) X | (19) (9471581, 138900) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 6343.9 | (25) (33.863, 135-6) | (26) 1 | (27) 65.3563
Output number: 50, Rank-16: (1) 224 | (2) 42549 | (3)0.526452/100 | (4) 346, 346 | (5) 7210.81 | (6) 499.008 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 85.6556/100 | (15) 0 | (17) (346, 346) | (18) X | (19) (4696117, 47961) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 9514.61 | (25) (37.9246, 52-47) | (26) 1 | (27) 229.812
Output number: 50, Rank-25: (1) 76 | (2) 80254 | (3)0.0946993/100 | (4) 268, 268 | (5) 3968.98 | (6) 1666.24 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 62.6111/100 | (15) 0 | (17) (268, 268) | (18) X | (19) (2067791, 37133) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 6897.23 | (25) (34.0274, 140-19) | (26) 1 | (27) 98.4322
Output number: 50, Rank-15: (1) 109 | (2) 82854 | (3)0.131557/100 | (4) 227, 227 | (5) 5354.48 | (6) 1136.74 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 72.1222/100 | (15) 0 | (17) (227, 227) | (18) X | (19) (1965017, 31105) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 6993.68 | (25) (34.3708, 96-50) | (26) 1 | (27) 65.8358
Output number: 50, Rank-17: (1) 362 | (2) 87011 | (3)0.416039/100 | (4) 1101, 1101 | (5) 2271.35 | (6) 1816.52 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 45.4111/100 | (15) 0 | (17) (1101, 1101) | (18) X | (19) (10177243, 152307) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 5893.53 | (25) (44.7672, 88-50) | (26) 1 | (27) 33.4058
Output number: 50, Rank-11: (1) 168 | (2) 89366 | (3)0.187991/100 | (4) 902, 902 | (5) 470.733 | (6) 2418.99 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 32.1/100 | (15) 0 | (17) (902, 902) | (18) X | (19) (8791964, 124958) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1378.92 | (25) (33.526, 116-142) | (26) 1 | (27) 0.89317
Output number: 50, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 954, 954 | (5) 5901.19 | (6) 756.231 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000 | (14) 73.9667/100 | (15) 0 | (17) (954, 954) | (18) X | (19) (10192942, 132537) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 9997.77 | (25) (33.726, 130-18) | (26) 1 | (27) 164.745
Output number: 50, Rank-13: (1) 114 | (2) 24678 | (3)0.46195/100 | (4) 816, 816 | (5) 6950.06 | (6) 511.757 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000.01 | (14) 82.9/100 | (15) 0 | (17) (816, 816) | (18) X | (19) (8333767, 113310) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 11408.1 | (25) (34.6535, 133-116) | (26) 1 | (27) 231.6
Output number: 50, Rank-2: (1) 404 | (2) 73536 | (3)0.549391/100 | (4) 1131, 1131 | (5) 3961.08 | (6) 1322.52 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000.01 | (14) 58.7/100 | (15) 0 | (17) (1131, 1131) | (18) X | (19) (9691062, 156784) | (20) 1 | (21) 1 | (22) 0 | (23) 18 | (24) 9995.77 | (25) (33.8107, 44-75) | (26) 13 | (27) 267.216
Output number: 50, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 536, 536 | (5) 8930.94 | (6) 22.9291 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9000.01 | (14) 99.4778/100 | (15) 0 | (17) (536, 536) | (18) X | (19) (6103575, 74749) | (20) 1 | (21) 0 | (22) 0 | (23) 156 | (24) 12874 | (25) (35.7214, 96-67) | (26) 1 | (27) 4407.77
Output number: 51, Rank-26: (1) 41 | (2) 91193 | (3)0.0449596/100 | (4) 786, 786 | (5) 733.848 | (6) 2701.31 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9180 | (14) 37.4183/100 | (15) 0 | (17) (786, 786) | (18) X | (19) (7606519, 109254) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3071.31 | (25) (33.3396, 75-42) | (26) 51430 | (27) -0.68568
Output number: 51, Rank-22: (1) 145 | (2) 83996 | (3)0.172627/100 | (4) 878, 878 | (5) 3562.23 | (6) 1579.27 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9180 | (14) 56.0022/100 | (15) 0 | (17) (878, 878) | (18) X | (19) (8617262, 121729) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4118.44 | (25) (33.9563, 86-71) | (26) 35441 | (27) -0.95632
Output number: 51, Rank-3: (1) 109 | (2) 91153 | (3)0.119579/100 | (4) 842, 842 | (5) 581.701 | (6) 2516.65 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 9180 | (14) 33.7473/100 | (15) 0 | (17) (842, 842) | (18) X | (19) (8278327, 116861) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2176.79 | (25) (33.6984, 59-98) | (26) 1 | (27) -1.0177
