#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-32-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.44863 seconds
Distributing the actor graph took: 42.1073 seconds
Added actors in: 0.116455 seconds.
Initialized connections of actors in: 0.0522152 seconds.
Async Migration only
Output number: 1, Rank-9: (1) 23 | (2) 435 | (3)5.28736/100 | (4) 18, 18 | (5) 17.9686 | (6) 69.9332 | (7) 0.000371078 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (67384, 67384) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 136.298 | (25) (32.9184, 67-57)
Output number: 5, Rank-318: (1) 29 | (2) 546 | (3)5.31136/100 | (4) 33, 33 | (5) 12.4829 | (6) 367.246 | (7) 0.000380762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 42.1111/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (88301, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 141.891 | (25) (33.2653, 74-76)
Output number: 5, Rank-706: (1) 45 | (2) 8863 | (3)0.507729/100 | (4) 21, 21 | (5) 25.1547 | (6) 379.441 | (7) 0.000348085 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.8889/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (70357, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.171 | (25) (34.0586, 83-89)
Output number: 5, Rank-634: (1) 21 | (2) 8787 | (3)0.238989/100 | (4) 25, 25 | (5) 9.25403 | (6) 380.703 | (7) 0.000392614 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.2222/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (71873, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.586 | (25) (33.5567, 83-67)
Output number: 5, Rank-865: (1) 17 | (2) 490 | (3)3.46939/100 | (4) 39, 39 | (5) 6.62391 | (6) 366.819 | (7) 0.000378891 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 41.4444/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (80263, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 82.5465 | (25) (33.3519, 84-56)
Output number: 5, Rank-819: (1) 47 | (2) 451 | (3)10.4213/100 | (4) 13, 13 | (5) 26.5797 | (6) 386.895 | (7) 0.000319485 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 45.8889/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (63160, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.1 | (25) (33.8567, 11-7)
Output number: 5, Rank-282: (1) 28 | (2) 8911 | (3)0.314218/100 | (4) 29, 29 | (5) 17.4541 | (6) 378.713 | (7) 0.000382752 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (88093, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.683 | (25) (33.565, 18-2)
Output number: 5, Rank-385: (1) 37 | (2) 513 | (3)7.21248/100 | (4) 31, 31 | (5) 21.479 | (6) 362.581 | (7) 0.000313084 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 42.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (70309, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 79.5405 | (25) (34.167, 58-77)
Output number: 5, Rank-140: (1) 38 | (2) 470 | (3)8.08511/100 | (4) 28, 28 | (5) 15.95 | (6) 376.408 | (7) 0.000315225 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.5556/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (91046, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 80.515 | (25) (35.563, 133-15)
Output number: 5, Rank-283: (1) 23 | (2) 546 | (3)4.21245/100 | (4) 28, 28 | (5) 22.6793 | (6) 373.784 | (7) 0.000368971 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (77779, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.069 | (25) (33.5585, 15-0)
Output number: 5, Rank-386: (1) 29 | (2) 532 | (3)5.45113/100 | (4) 24, 24 | (5) 23.6596 | (6) 371.635 | (7) 0.000327189 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.8889/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (65373, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.061 | (25) (33.7907, 60-65)
Output number: 5, Rank-155: (1) 31 | (2) 459 | (3)6.75381/100 | (4) 33, 33 | (5) 13.5285 | (6) 370.238 | (7) 0.000340756 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 42.5556/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (88526, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 114.901 | (25) (34.2084, 87-75)
Output number: 5, Rank-551: (1) 45 | (2) 8860 | (3)0.507901/100 | (4) 23, 23 | (5) 31.5542 | (6) 369.174 | (7) 0.000321977 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.4444/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (78969, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.411 | (25) (34.2412, 5-136)
Output number: 5, Rank-478: (1) 24 | (2) 526 | (3)4.56274/100 | (4) 31, 31 | (5) 14.0518 | (6) 380.969 | (7) 0.000326414 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (83470, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.134 | (25) (33.3109, 63-55)
Output number: 5, Rank-423: (1) 52 | (2) 8813 | (3)0.590037/100 | (4) 6, 6 | (5) 50.1463 | (6) 384.891 | (7) 0.000340488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 48.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27345, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.837 | (25) (34.5057, 8-4)
Output number: 5, Rank-358: (1) 36 | (2) 530 | (3)6.79245/100 | (4) 21, 21 | (5) 20.5192 | (6) 370.16 | (7) 0.000399825 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.3333/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (63499, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.355 | (25) (33.3024, 10-8)
Output number: 5, Rank-31: (1) 33 | (2) 8876 | (3)0.371789/100 | (4) 14, 14 | (5) 16.8124 | (6) 386.251 | (7) 0.000364513 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.7778/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (71535, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.649 | (25) (32.9301, 134-1)
Output number: 5, Rank-659: (1) 25 | (2) 8886 | (3)0.281341/100 | (4) 39, 39 | (5) 10.4118 | (6) 368.092 | (7) 0.000338909 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 42/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (88282, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 114.372 | (25) (33.9056, 10-135)
Output number: 5, Rank-70: (1) 46 | (2) 489 | (3)9.40695/100 | (4) 14, 14 | (5) 36.6444 | (6) 358.819 | (7) 0.000308643 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.8889/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (48937, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 103.433 | (25) (33.0179, 141-3)
Output number: 5, Rank-574: (1) 44 | (2) 8772 | (3)0.501596/100 | (4) 24, 24 | (5) 29.7297 | (6) 374.203 | (7) 0.00031183 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.7778/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (64377, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 110.034 | (25) (34.1481, 56-89)
Output number: 5, Rank-748: (1) 46 | (2) 8897 | (3)0.517028/100 | (4) 35, 35 | (5) 33.0554 | (6) 364.905 | (7) 0.000334503 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.1111/100 | (15) 0 | (17) (35, 35) | (18) X | (19) (77068, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 82.1076 | (25) (34.7126, 137-138)
Output number: 5, Rank-504: (1) 50 | (2) 476 | (3)10.5042/100 | (4) 9, 9 | (5) 41.4625 | (6) 373.279 | (7) 0.000386719 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (54578, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 139.273 | (25) (34.7767, 1-125)
Output number: 5, Rank-242: (1) 55 | (2) 519 | (3)10.5973/100 | (4) 13, 13 | (5) 34.7164 | (6) 380.643 | (7) 0.000316001 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46.1111/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (58496, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 104.455 | (25) (33.4973, 88-85)
Output number: 5, Rank-418: (1) 46 | (2) 8912 | (3)0.516158/100 | (4) 33, 33 | (5) 25.7078 | (6) 371.074 | (7) 0.000334409 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (106550, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 112.364 | (25) (33.9238, 0-18)
Output number: 5, Rank-469: (1) 37 | (2) 8837 | (3)0.418694/100 | (4) 13, 13 | (5) 26.0851 | (6) 377.085 | (7) 0.000276387 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.7778/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (65743, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.339 | (25) (32.8515, 69-60)
Output number: 5, Rank-198: (1) 44 | (2) 432 | (3)10.1852/100 | (4) 9, 9 | (5) 44.2589 | (6) 370.488 | (7) 0.000310486 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (40338, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 102.556 | (25) (33.8831, 56-67)
Output number: 5, Rank-778: (1) 47 | (2) 8793 | (3)0.534516/100 | (4) 13, 13 | (5) 49.5545 | (6) 383.877 | (7) 0.000317367 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 48.1111/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (31083, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.577 | (25) (33.4223, 129-140)
Output number: 5, Rank-182: (1) 43 | (2) 513 | (3)8.38207/100 | (4) 33, 33 | (5) 31.9723 | (6) 360.212 | (7) 0.0004015 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.5556/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (78538, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 112.717 | (25) (33.8342, 65-73)
Output number: 5, Rank-674: (1) 30 | (2) 8867 | (3)0.338333/100 | (4) 17, 17 | (5) 19.0032 | (6) 380.52 | (7) 0.000396682 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.3333/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (60784, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.579 | (25) (33.5027, 143-130)
Output number: 5, Rank-789: (1) 46 | (2) 438 | (3)10.5023/100 | (4) 6, 6 | (5) 51.3803 | (6) 366.139 | (7) 0.000379897 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22972, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 133.078 | (25) (33.399, 87-64)
Output number: 5, Rank-601: (1) 56 | (2) 8806 | (3)0.63593/100 | (4) 9, 9 | (5) 41.9238 | (6) 372.25 | (7) 0.000312202 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (35636, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.696 | (25) (33.5575, 58-78)
Output number: 5, Rank-274: (1) 41 | (2) 435 | (3)9.42529/100 | (4) 26, 26 | (5) 23.0351 | (6) 367.934 | (7) 0.000384996 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.3333/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (88967, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 109.942 | (25) (33.9548, 66-73)
Output number: 5, Rank-114: (1) 20 | (2) 8750 | (3)0.228571/100 | (4) 29, 29 | (5) 12.2191 | (6) 384.445 | (7) 0.000323716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (77092, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 110.878 | (25) (34.5234, 55-61)
Output number: 5, Rank-875: (1) 29 | (2) 514 | (3)5.64202/100 | (4) 15, 15 | (5) 16.3599 | (6) 371.588 | (7) 0.00029445 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (77533, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.395 | (25) (33.9985, 66-62)
Output number: 5, Rank-106: (1) 57 | (2) 8831 | (3)0.645454/100 | (4) 17, 17 | (5) 39.7838 | (6) 381.626 | (7) 0.000354606 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46.7778/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (52977, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.3939 | (25) (32.4867, 139-4)
Output number: 5, Rank-327: (1) 28 | (2) 8908 | (3)0.314324/100 | (4) 16, 16 | (5) 24.5452 | (6) 373.861 | (7) 0.00029318 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.2222/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (54311, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.041 | (25) (33.8674, 61-59)
Output number: 5, Rank-723: (1) 25 | (2) 515 | (3)4.85437/100 | (4) 44, 44 | (5) 8.06626 | (6) 366.099 | (7) 0.000342636 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 41.5556/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (83386, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 119.063 | (25) (34.4855, 67-61)
Output number: 5, Rank-618: (1) 44 | (2) 8889 | (3)0.494994/100 | (4) 21, 21 | (5) 29.4772 | (6) 372.902 | (7) 0.000322483 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.6667/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (75426, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.803 | (25) (33.7216, 88-70)
Output number: 5, Rank-843: (1) 24 | (2) 487 | (3)4.92813/100 | (4) 27, 27 | (5) 11.3453 | (6) 378.009 | (7) 0.000386303 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.2222/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (82883, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 110.71 | (25) (34.0765, 80-82)
Output number: 5, Rank-822: (1) 40 | (2) 416 | (3)9.61538/100 | (4) 15, 15 | (5) 25.9676 | (6) 369.31 | (7) 0.000291919 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.8889/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (59767, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.84 | (25) (33.5841, 88-76)
Output number: 5, Rank-287: (1) 15 | (2) 8797 | (3)0.170513/100 | (4) 37, 37 | (5) 2.78526 | (6) 382.204 | (7) 0.000355202 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 42.6667/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (74302, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.2219 | (25) (0.55941, 19-29)
Output number: 5, Rank-380: (1) 31 | (2) 406 | (3)7.63547/100 | (4) 20, 20 | (5) 17.8861 | (6) 373.72 | (7) 0.000273644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.4444/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (78098, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.428 | (25) (33.9683, 9-11)
Output number: 5, Rank-144: (1) 21 | (2) 415 | (3)5.06024/100 | (4) 19, 19 | (5) 17.4186 | (6) 377.759 | (7) 0.000366642 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.8889/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (63822, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.947 | (25) (33.7286, 141-10)
Output number: 5, Rank-552: (1) 47 | (2) 8885 | (3)0.528981/100 | (4) 21, 21 | (5) 26.4239 | (6) 387.042 | (7) 0.000310737 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 45.8889/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (69761, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.376 | (25) (34.0468, 5-141)
Output number: 5, Rank-500: (1) 37 | (2) 8869 | (3)0.417183/100 | (4) 18, 18 | (5) 23.7014 | (6) 375.31 | (7) 0.000322577 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (75654, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.941 | (25) (32.9978, 6-131)
Output number: 5, Rank-426: (1) 34 | (2) 8810 | (3)0.385925/100 | (4) 11, 11 | (5) 50.4584 | (6) 376.174 | (7) 0.000329277 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 47.3333/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (23767, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.079 | (25) (34.6596, 1-18)
Output number: 5, Rank-359: (1) 38 | (2) 8910 | (3)0.426487/100 | (4) 34, 34 | (5) 21.8055 | (6) 365.422 | (7) 0.000311757 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (98017, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.891 | (25) (33.4866, 2-17)
Output number: 5, Rank-32: (1) 33 | (2) 8918 | (3)0.370038/100 | (4) 30, 30 | (5) 17.9924 | (6) 374.917 | (7) 0.000342383 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.5556/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (89044, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.217 | (25) (33.2086, 141-0)
Output number: 5, Rank-671: (1) 30 | (2) 8922 | (3)0.336247/100 | (4) 27, 27 | (5) 20.2545 | (6) 377.149 | (7) 0.000287669 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.1111/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (83326, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.141 | (25) (33.2463, 10-138)
Output number: 5, Rank-71: (1) 56 | (2) 498 | (3)11.245/100 | (4) 15, 15 | (5) 37.388 | (6) 363.546 | (7) 0.000266952 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.4444/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (56890, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.906 | (25) (33.566, 137-17)
Output number: 5, Rank-568: (1) 38 | (2) 8869 | (3)0.428459/100 | (4) 14, 14 | (5) 31.0887 | (6) 373.593 | (7) 0.000318555 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.8889/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (56344, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.955 | (25) (33.7542, 67-63)
Output number: 5, Rank-754: (1) 30 | (2) 8723 | (3)0.343918/100 | (4) 33, 33 | (5) 19.2749 | (6) 372.229 | (7) 0.000302732 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 43.4444/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (85696, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.144 | (25) (33.5501, 130-140)
Output number: 5, Rank-509: (1) 55 | (2) 467 | (3)11.7773/100 | (4) 9, 9 | (5) 38.3766 | (6) 382.579 | (7) 0.000307221 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46.6667/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (58663, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 101.736 | (25) (33.223, 4-129)
Output number: 5, Rank-243: (1) 55 | (2) 8879 | (3)0.619439/100 | (4) 12, 12 | (5) 36.1726 | (6) 385.355 | (7) 0.000310128 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46.7778/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (65921, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.715 | (25) (33.3824, 70-55)
Output number: 5, Rank-395: (1) 48 | (2) 471 | (3)10.1911/100 | (4) 20, 20 | (5) 37.6949 | (6) 362.818 | (7) 0.000363768 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.4444/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (48103, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.242 | (25) (34.0846, 9-4)
Output number: 5, Rank-453: (1) 33 | (2) 8885 | (3)0.371412/100 | (4) 32, 32 | (5) 10.6932 | (6) 372.058 | (7) 0.000200524 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 42.4444/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (94193, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 112.77 | (25) (34.0434, 62-90)
Output number: 5, Rank-200: (1) 34 | (2) 8772 | (3)0.387597/100 | (4) 14, 14 | (5) 51.265 | (6) 362.462 | (7) 0.000278789 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 45.8889/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (35846, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.6372 | (25) (33.7362, 83-82)
Output number: 5, Rank-779: (1) 51 | (2) 8819 | (3)0.578297/100 | (4) 7, 7 | (5) 49.3184 | (6) 377.012 | (7) 0.000311943 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 47.3333/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (27613, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 133.234 | (25) (33.0151, 143-142)
Output number: 5, Rank-178: (1) 43 | (2) 8846 | (3)0.486095/100 | (4) 7, 7 | (5) 31.7371 | (6) 392.23 | (7) 0.000277081 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 47/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (52994, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 100.873 | (25) (33.3062, 11-12)
Output number: 5, Rank-677: (1) 31 | (2) 8904 | (3)0.348158/100 | (4) 53, 53 | (5) 7.39788 | (6) 356.298 | (7) 0.000371627 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 40.3333/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (106983, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 86.9728 | (25) (33.8565, 141-126)
Output number: 5, Rank-790: (1) 42 | (2) 440 | (3)9.54545/100 | (4) 20, 20 | (5) 52.3056 | (6) 351.137 | (7) 0.000385172 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 44.7778/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (31855, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.345 | (25) (33.6829, 89-70)
Output number: 5, Rank-602: (1) 34 | (2) 8814 | (3)0.38575/100 | (4) 12, 12 | (5) 52.1919 | (6) 370.136 | (7) 0.000348683 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 46.8889/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (37504, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.601 | (25) (32.8915, 60-80)
Output number: 5, Rank-254: (1) 53 | (2) 424 | (3)12.5/100 | (4) 13, 13 | (5) 51.5495 | (6) 361.194 | (7) 0.000320165 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 900 | (14) 45.7778/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (29095, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 103.703 | (25) (33.3879, 85-85)
